,Original,SA_AIC,GA_AIC,SA_QUBO,GA_QUBO
AIC_list,3175.55(275.07),1387.65(1.36),1619.9(67.34),2724.83(187.65),2742.39(235.24)
QUBO_list,0.43(0.08),0.0(0.0),0.13(0.07),0.25(0.09),0.27(0.09)
Accuracy,0.74(0.05),0.0(0.0),0.61(0.03),0.73(0.03),0.73(0.03)
R2,0.29(0.04),0.0(0.0),0.04(0.01),0.23(0.03),0.23(0.03)
CN,41.26(14.2),1.0(0.0),2.64(1.66),3.89(1.25),4.25(1.25)
