,Original,SA_AIC,GA_AIC,SA_QUBO,GA_QUBO
AIC_list,-1728.93(230.07),-1727.18(230.19),-1727.99(231.01),-1686.01(233.6),-1686.01(233.6)
QUBO_list,0.6(0.23),0.57(0.23),0.59(0.25),0.4(0.22),0.4(0.22)
Accuracy,0.78(0.02),0.81(0.02),0.76(0.06),0.78(0.03),0.78(0.07)
R2,0.33(0.06),0.34(0.06),0.33(0.09),0.33(0.08),0.3(0.06)
CN,18.95(7.82),3.7(0.86),7.85(3.28),5.02(3.96),5.02(3.96)
