,index,number_samples,number_features,number_influentials,epsilon,covariance_parameter,lmbd,number_of_test
0,17177,1000,10,6,,40.0,0.05,10
1,09771,1000,40,8,,40.0,0.02,10
2,38541,1000,20,8,,40.0,0.02,10
3,78257,1000,20,8,,40.0,0.02,10
4,11578,1000,20,8,,40.0,0.01,10
5,87682,1000,20,8,,40.0,0.01,10
6,26501,1000,40,8,,40.0,0.01,10
7,31693,1000,20,8,,40.0,0.005,10
8,35737,1000,40,8,,40.0,0.005,10
