,Original,SA_AIC,GA_AIC,SA_QUBO,GA_QUBO
AIC_list,3213.0(141.57),1401.36(24.23),1520.0(110.29),1733.11(453.84),2272.61(400.84)
QUBO_list,0.58(0.12),0.02(0.02),0.12(0.06),0.06(0.07),0.13(0.09)
Accuracy,0.77(0.02),0.17(0.26),0.58(0.04),0.29(0.35),0.68(0.08)
R2,0.3(0.02),0.0(0.0),0.02(0.02),0.06(0.08),0.16(0.07)
CN,29.09(9.37),1.0(0.0),1.47(0.56),1.42(0.85),2.41(1.38)
