,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6041.48(52.26),11163.86(290.56),10705.49(221.8),10308.65(379.53)
QUBO_list,17.45(0.32),0.13(0.2),0.66(0.26),1.51(0.31)
MSPE,1.46(0.06),18.99(2.88),15.37(1.81),12.53(2.32)
R2,0.93(0.01),0.07(0.11),0.26(0.09),0.39(0.14)
CN,81.35(17.89),1.0(0.0),1.14(0.16),1.48(0.16)
