,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6049.35(37.74),8021.52(954.05),9477.02(309.17),7240.45(789.82)
QUBO_list,3.97(0.18),2.69(0.27),1.62(0.22),1.22(0.14)
MSPE,1.45(0.08),4.35(1.76),8.21(1.44),2.82(1.13)
R2,0.93(0.01),0.8(0.1),0.63(0.08),0.87(0.05)
CN,81.68(17.87),7.01(1.94),3.29(0.47),2.5(0.32)
