,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5212.84(49.75),9878.04(396.09),9563.16(427.91),6954.8(1421.67)
QUBO_list,10.0(0.2),0.74(0.22),1.05(0.12),1.51(0.18)
MSPE,0.96(0.04),10.08(2.34),8.63(1.92),2.82(1.71)
R2,0.94(0.01),0.34(0.09),0.44(0.08),0.8(0.13)
CN,65.73(18.19),1.39(0.18),1.57(0.18),1.93(0.26)
