,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5206.44(34.91),5204.88(35.41),6361.18(868.87),5182.46(29.65)
QUBO_list,2.56(0.12),2.52(0.12),1.93(0.17),0.9(0.14)
MSPE,0.99(0.04),0.94(0.03),1.88(0.78),0.92(0.02)
R2,0.94(0.01),0.94(0.01),0.89(0.04),0.94(0.01)
CN,83.4(13.11),57.01(15.93),7.64(2.35),2.03(0.16)
