,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6042.47(30.63),6041.47(30.67),8692.34(703.88),6541.3(564.98)
QUBO_list,3.08(0.07),3.01(0.08),1.56(0.15),1.11(0.08)
MSPE,1.48(0.06),1.44(0.07),5.67(1.54),1.94(0.58)
R2,0.93(0.01),0.93(0.01),0.72(0.08),0.9(0.04)
CN,85.27(7.58),57.24(16.97),3.77(0.66),2.59(0.2)
