,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5211.1(43.1),6535.2(922.66),8160.94(615.95),5543.67(572.36)
QUBO_list,3.97(0.15),2.64(0.2),1.5(0.17),1.0(0.11)
MSPE,0.97(0.05),2.05(0.95),4.26(1.13),1.19(0.39)
R2,0.94(0.01),0.87(0.06),0.73(0.08),0.93(0.03)
CN,71.22(18.22),6.72(0.63),2.94(0.36),1.93(0.1)
