,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6027.87(41.67),7441.0(819.17),8838.74(664.31),7252.63(893.38)
QUBO_list,3.87(0.18),2.5(0.23),1.46(0.16),1.18(0.15)
MSPE,1.44(0.08),3.18(1.2),6.07(1.86),2.97(1.38)
R2,0.93(0.01),0.84(0.06),0.69(0.1),0.85(0.07)
CN,72.08(15.34),6.33(1.06),2.91(0.39),2.42(0.25)
