,Original,Mutual Information,Simple R2,Partial R2
AIC_list,-837.68(43.63),-832.28(40.83),-858.75(48.51),-774.33(60.72)
QUBO_list,2.03(0.05),0.3(0.06),0.63(0.09),0.19(0.14)
MSPE,0.05(0.0),0.05(0.0),0.05(0.0),0.05(0.0)
R2,-0.35(0.06),-0.32(0.07),-0.31(0.05),-0.37(0.05)
CN,74.24(16.05),1.67(0.18),2.97(0.33),1.48(0.53)
