,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5232.69(33.86),8554.39(391.8),6186.43(951.94),5255.04(115.58)
QUBO_list,5.46(0.16),1.67(0.32),3.13(0.37),1.8(0.4)
MSPE,0.97(0.06),5.16(1.07),1.79(0.94),0.99(0.07)
R2,0.94(0.01),0.68(0.06),0.89(0.06),0.94(0.01)
CN,75.22(19.85),2.68(0.57),6.3(1.03),3.35(0.94)
