,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6029.6(36.66),9262.85(426.16),9601.85(277.73),8124.87(908.24)
QUBO_list,5.44(0.17),1.62(0.17),1.31(0.18),1.32(0.16)
MSPE,1.43(0.08),7.55(1.55),8.67(1.27),4.49(1.86)
R2,0.93(0.01),0.63(0.09),0.57(0.07),0.77(0.08)
CN,80.35(16.07),2.88(0.45),2.2(0.34),2.28(0.24)
