,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6041.67(27.84),9052.22(529.89),9289.61(372.07),8001.11(732.87)
QUBO_list,5.45(0.15),1.67(0.25),1.4(0.22),1.36(0.12)
MSPE,1.5(0.07),6.64(1.56),7.35(1.17),4.08(1.49)
R2,0.92(0.01),0.64(0.1),0.61(0.07),0.79(0.08)
CN,76.24(18.95),2.51(0.29),2.19(0.3),2.26(0.24)
