,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5207.12(41.95),10754.57(320.09),9992.42(393.84),9092.94(979.47)
QUBO_list,17.54(0.2),0.17(0.21),0.93(0.22),1.69(0.37)
MSPE,0.95(0.04),15.73(2.71),10.88(2.21),7.48(3.02)
R2,0.94(0.01),0.09(0.11),0.38(0.09),0.57(0.19)
CN,78.64(18.5),1.0(0.0),1.3(0.19),1.52(0.16)
