,Original,Mutual Information,Simple R2,Partial R2
AIC_list,6022.96(58.54),9285.66(451.33),7447.13(928.57),6102.95(300.53)
QUBO_list,5.55(0.23),1.74(0.4),3.44(0.39),2.33(0.39)
MSPE,1.44(0.06),7.58(1.83),3.21(1.33),1.53(0.25)
R2,0.93(0.01),0.64(0.06),0.84(0.07),0.93(0.02)
CN,74.97(18.97),2.8(0.63),7.42(1.77),4.17(0.89)
