,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5215.73(29.17),5272.97(173.98),7658.1(1146.03),5181.77(27.01)
QUBO_list,3.29(0.17),3.2(0.18),1.79(0.23),0.99(0.13)
MSPE,0.96(0.04),0.99(0.1),3.74(1.79),0.95(0.05)
R2,0.94(0.01),0.94(0.02),0.77(0.11),0.94(0.01)
CN,79.96(19.18),41.66(10.59),4.32(0.91),2.11(0.19)
