,Original,Mutual Information,Simple R2,Partial R2
AIC_list,5230.66(28.24),6128.6(969.54),7938.88(510.46),5672.63(818.64)
QUBO_list,3.94(0.19),2.54(0.24),1.53(0.24),0.99(0.14)
MSPE,0.98(0.05),1.7(0.86),3.88(0.89),1.35(0.81)
R2,0.93(0.02),0.86(0.08),0.71(0.11),0.9(0.05)
CN,78.03(11.38),6.69(1.44),2.96(0.44),1.96(0.22)
