,Original,SA_AIC,GA_AIC,SA_QUBO,GA_QUBO
AIC_list,6900.021797208892(44.95),8702.766525537627(293.01),8227.510243033199(280.63),8712.995535519882(273.13),8213.248152586986(249.83)
QUBO_list,[[10.78724537]](1.33),[[1.03842813]](0.58),[[4.5865883]](0.52),[[1.02292833]](0.53),[[4.58043928]](0.54)
MSPE,2.2785717725747765(0.11),5.5547295817898235(0.83),4.407147792249956(0.65),5.599080965102285(0.78),4.360347333882122(0.54)
R2,0.6794272104274424(0.04),0.2158777868874046(0.12),0.38569817653647165(0.09),0.2146427619414133(0.11),0.38538836031249185(0.09)
CN,27.269367116643522(0.86),2.1545669990049303(0.78),4.554415767875527(0.62),2.162453382921585(0.77),4.496744240587276(0.55)
