,Original,SA_AIC,GA_AIC,SA_QUBO,GA_QUBO
AIC_list,5184.28(30.32),5172.32(30.91),5646.76(462.98),6361.06(1070.71),6931.58(931.68)
QUBO_list,4.21(0.62),6.01(0.35),5.13(0.75),3.98(1.79),2.99(1.29)
MSPE,0.95(0.05),0.93(0.04),1.24(0.3),1.98(1.09),2.49(1.04)
R2,0.85(0.03),0.85(0.03),0.8(0.05),0.7(0.16),0.61(0.14)
CN,26.82(4.84),4.68(2.78),6.79(2.01),3.32(0.83),4.21(1.58)
