Score,Original,Mutual Information Criterion,Ordinary R2,Partial R2
Accuracy,0.75(0.03),0.76(0.02),0.75(0.03),0.71(0.04)
Accuracy,0.75(0.04),0.74(0.04),0.75(0.04),0.76(0.02)
Accuracy,0.76(0.04),0.74(0.03),0.74(0.04),0.74(0.05)
CN,76.99(17.06),5.47(1.46),7.11(3.48),3.21(1.23)
CN,78.11(15.4),12.27(7.17),9.48(4.5),4.5(2.38)
CN,79.68(14.21),36.89(17.28),11.65(2.73),8.37(9.78)
