,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,3.81(0.09),0.44(0.12),2.84(1.19),1.04(0.41)
Accuracy,0.91(0.02),0.78(0.05),0.88(0.06),0.82(0.07)
R2,0.68(0.12),0.23(0.09),0.64(0.24),0.36(0.13)
CN,123.62(81.14),1.51(0.27),54.65(76.17),2.85(1.28)
