,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,1.5(0.03),0.67(0.05),1.43(0.1),0.64(0.12)
Accuracy,0.9(0.03),0.87(0.04),0.92(0.03),0.86(0.07)
R2,0.59(0.05),0.43(0.09),0.59(0.05),0.45(0.12)
CN,11.03(0.56),2.79(0.38),10.57(0.74),3.38(0.51)
