,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,3.89(0.09),0.51(0.13),2.82(1.01),0.91(0.14)
Accuracy,0.91(0.04),0.8(0.06),0.91(0.04),0.84(0.05)
R2,0.62(0.07),0.25(0.09),0.6(0.07),0.38(0.11)
CN,21.33(1.19),1.68(0.26),12.8(6.84),2.46(0.38)
