,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.33(0.11),0.65(0.15),1.99(0.57),0.73(0.16)
Accuracy,0.88(0.04),0.88(0.04),0.91(0.02),0.86(0.07)
R2,0.62(0.07),0.44(0.09),0.6(0.11),0.45(0.15)
CN,15.04(0.86),2.15(0.51),11.99(4.38),2.93(0.78)
