,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.28(0.11),0.62(0.11),2.1(0.33),0.77(0.16)
Accuracy,0.9(0.02),0.86(0.03),0.89(0.03),0.87(0.05)
R2,0.62(0.05),0.42(0.08),0.57(0.09),0.47(0.13)
CN,15.49(0.96),2.3(0.43),13.84(3.31),3.13(0.78)
