,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,1.54(0.1),0.77(0.13),1.41(0.24),0.66(0.13)
Accuracy,0.9(0.03),0.88(0.05),0.9(0.04),0.86(0.06)
R2,0.61(0.04),0.45(0.07),0.57(0.1),0.44(0.12)
CN,21.35(0.95),3.38(0.52),18.8(4.83),4.0(0.85)
