,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.27(0.08),0.58(0.11),2.04(0.29),0.82(0.13)
Accuracy,0.91(0.03),0.88(0.04),0.89(0.03),0.86(0.03)
R2,0.64(0.05),0.37(0.09),0.61(0.08),0.43(0.08)
CN,21.11(0.9),2.18(0.31),17.07(4.41),3.31(0.6)
