,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,15.9(0.2),0.0(0.0),2.99(1.67),0.82(0.53)
Accuracy,0.89(0.04),0.5(0.0),0.82(0.08),0.7(0.11)
R2,0.63(0.06),0.0(0.0),0.28(0.13),0.13(0.11)
CN,172.77(96.06),1.0(0.0),2.17(0.74),1.28(0.31)
