,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,1.52(0.1),0.72(0.1),1.48(0.09),0.79(0.14)
Accuracy,0.92(0.04),0.87(0.05),0.92(0.04),0.89(0.04)
R2,0.64(0.06),0.48(0.08),0.68(0.12),0.57(0.11)
CN,21.66(0.66),3.06(0.47),20.41(0.88),4.8(1.11)
