,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.33(0.08),0.64(0.15),1.49(0.57),0.83(0.19)
Accuracy,0.91(0.02),0.84(0.03),0.89(0.04),0.9(0.03)
R2,0.66(0.06),0.35(0.09),0.55(0.12),0.49(0.1)
CN,21.31(0.69),2.12(0.3),10.24(7.63),3.14(0.63)
