,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.3(0.12),0.64(0.15),2.17(0.2),1.03(0.42)
Accuracy,0.9(0.02),0.86(0.06),0.9(0.02),0.86(0.07)
R2,0.65(0.05),0.39(0.12),0.65(0.08),0.4(0.18)
CN,163.31(117.96),2.21(0.36),69.13(55.15),4.71(2.36)
