,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,1.54(0.1),0.76(0.1),1.36(0.26),0.82(0.09)
Accuracy,0.89(0.03),0.86(0.02),0.88(0.05),0.88(0.03)
R2,0.61(0.06),0.42(0.04),0.56(0.12),0.48(0.06)
CN,15.2(0.76),3.15(0.33),12.67(3.65),4.75(0.7)
