,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.33(0.1),0.66(0.13),2.13(0.27),0.65(0.11)
Accuracy,0.92(0.03),0.89(0.02),0.89(0.04),0.86(0.07)
R2,0.6(0.07),0.56(0.06),0.61(0.06),0.4(0.16)
CN,15.55(0.37),2.1(0.42),13.35(3.26),2.34(0.35)
