,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,2.3(0.06),0.61(0.08),1.83(0.6),0.71(0.21)
Accuracy,0.89(0.03),0.84(0.06),0.87(0.06),0.84(0.05)
R2,0.6(0.08),0.39(0.11),0.53(0.14),0.42(0.1)
CN,33.04(2.19),2.19(0.28),22.94(12.38),2.82(0.7)
