,Original,Mutual Information,Simple R2,Partial R2
QUBO_list,8.26(0.1),0.07(0.1),3.39(2.24),1.14(0.22)
Accuracy,0.91(0.02),0.54(0.07),0.83(0.08),0.83(0.06)
R2,0.64(0.06),0.03(0.04),0.36(0.21),0.29(0.12)
CN,21.02(1.11),1.0(0.0),5.25(3.95),2.09(0.29)
